"Date_evenement","Zone","Communes_a_envoi_dematerialise_Deces2020","Total_deces_2020","Communes_a_envoi_dematerialise_Deces2019","Total_deces_2019","Communes_a_envoi_dematerialise_Deces2018","Total_deces_2018"
"01/03/2020","Dept_01",11,15,12,15,10,13
"02/03/2020","Dept_01",18,23,26,34,25,29
"03/03/2020","Dept_01",30,37,37,46,38,48
"04/03/2020","Dept_01",38,47,46,56,51,62
"05/03/2020","Dept_01",51,62,58,72,69,83
"06/03/2020","Dept_01",64,76,64,82,82,97
"07/03/2020","Dept_01",77,93,72,91,98,115
"08/03/2020","Dept_01",88,104,82,103,109,128
"09/03/2020","Dept_01",100,116,89,112,118,141
"10/03/2020","Dept_01",113,131,101,124,129,155
"11/03/2020","Dept_01",124,143,114,139,134,161
"12/03/2020","Dept_01",130,151,118,144,149,178
"13/03/2020","Dept_01",146,169,127,155,161,192
"14/03/2020","Dept_01",158,182,142,171,170,203
"15/03/2020","Dept_01",176,202,153,183,182,216
"16/03/2020","Dept_01",184,211,164,195,190,225
"17/03/2020","Dept_01",202,229,175,207,201,237
"18/03/2020","Dept_01",216,247,182,217,212,255
"19/03/2020","Dept_01",233,266,188,228,225,272
"20/03/2020","Dept_01",239,274,199,241,236,283
"21/03/2020","Dept_01",251,293,209,252,252,303
"22/03/2020","Dept_01",260,302,217,264,259,313
"23/03/2020","Dept_01",270,316,230,278,276,331
"24/03/2020","Dept_01",279,329,244,293,289,345
"25/03/2020","Dept_01",288,342,255,306,298,356
"26/03/2020","Dept_01",302,358,266,319,308,366
"27/03/2020","Dept_01",311,376,275,331,321,382
"28/03/2020","Dept_01",321,389,289,352,330,394
"29/03/2020","Dept_01",331,407,299,363,344,412
"30/03/2020","Dept_01",346,429,313,380,361,429
"31/03/2020","Dept_01",364,452,318,388,373,443
"01/04/2020","Dept_01",374,469,329,400,382,455
"02/04/2020","Dept_01",384,486,341,414,398,471
"03/04/2020","Dept_01",400,503,352,427,407,481
"04/04/2020","Dept_01",415,522,367,445,416,490
"05/04/2020","Dept_01",426,536,375,454,423,499
"06/04/2020","Dept_01",438,554,389,470,437,515
"07/04/2020","Dept_01",464,583,402,485,456,534
"08/04/2020","Dept_01",480,601,406,492,469,548
"09/04/2020","Dept_01",497,626,418,504,481,561
"10/04/2020","Dept_01",503,634,428,517,490,575
"11/04/2020","Dept_01",512,645,431,522,500,588
"12/04/2020","Dept_01",524,660,442,533,506,595
"13/04/2020","Dept_01",540,679,448,540,514,606
"14/04/2020","Dept_01",550,694,458,551,524,624
"15/04/2020","Dept_01",564,710,465,559,532,634
"16/04/2020","Dept_01",572,723,478,574,543,646
"17/04/2020","Dept_01",579,733,492,588,555,660
"18/04/2020","Dept_01",587,746,497,597,567,672
"19/04/2020","Dept_01",601,765,504,610,581,688
"20/04/2020","Dept_01",616,783,516,626,593,701
"21/04/2020","Dept_01",627,796,529,639,609,719
"22/04/2020","Dept_01",637,807,541,652,622,733
"23/04/2020","Dept_01",646,817,554,666,630,742
"24/04/2020","Dept_01",661,833,561,676,639,753
"25/04/2020","Dept_01",671,843,573,688,651,767
"26/04/2020","Dept_01",681,853,585,702,656,773
"27/04/2020","Dept_01",693,866,595,715,664,782
"01/03/2020","Dept_02",19,23,14,16,15,18
"02/03/2020","Dept_02",30,39,24,29,29,35
"03/03/2020","Dept_02",46,57,36,43,52,62
"04/03/2020","Dept_02",56,70,51,60,69,81
"05/03/2020","Dept_02",73,88,66,76,94,107
"06/03/2020","Dept_02",85,104,83,97,121,137
"07/03/2020","Dept_02",108,131,94,110,134,154
"08/03/2020","Dept_02",122,146,118,135,153,180
"09/03/2020","Dept_02",133,162,128,145,171,198
"10/03/2020","Dept_02",146,180,145,163,192,220
"11/03/2020","Dept_02",168,205,159,177,213,246
"12/03/2020","Dept_02",179,218,174,192,232,268
"13/03/2020","Dept_02",189,229,182,202,257,293
"14/03/2020","Dept_02",209,253,200,223,275,314
"15/03/2020","Dept_02",229,276,211,236,294,338
"16/03/2020","Dept_02",249,297,220,248,309,359
"17/03/2020","Dept_02",276,326,234,264,332,386
"18/03/2020","Dept_02",297,350,246,276,342,399
"19/03/2020","Dept_02",320,374,272,306,360,419
"20/03/2020","Dept_02",340,397,285,322,377,436
"21/03/2020","Dept_02",355,413,292,331,396,459
"22/03/2020","Dept_02",376,439,303,346,417,481
"23/03/2020","Dept_02",393,458,316,365,427,494
"24/03/2020","Dept_02",414,481,326,376,442,512
"25/03/2020","Dept_02",437,513,340,392,455,528
"26/03/2020","Dept_02",457,535,351,404,465,540
"27/03/2020","Dept_02",475,555,367,421,476,551
"28/03/2020","Dept_02",498,580,384,443,485,563
"29/03/2020","Dept_02",514,599,398,459,496,574
"30/03/2020","Dept_02",534,620,414,476,511,591
"31/03/2020","Dept_02",553,642,425,488,526,609
"01/04/2020","Dept_02",580,671,440,506,540,625
"02/04/2020","Dept_02",605,698,449,518,550,639
"03/04/2020","Dept_02",625,726,458,531,564,655
"04/04/2020","Dept_02",650,754,467,542,578,671
"05/04/2020","Dept_02",681,788,485,562,585,681
"06/04/2020","Dept_02",713,827,493,573,598,695
"07/04/2020","Dept_02",733,851,508,589,608,711
